date,year,season,location,sampleID,microhabitat,mon.precip,mon.ADD,mon.max.discharge,mon.median.discharge,mon.max.turb,mon.median.turb,mon.max.wTemp,mon.median.wTemp,depth,per_sediment,per_rock,per_organic,pH,wTemp,DO,light,flow,turb,cond,nitrate,alkalinity,winter.sediment
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,69.8,384.75,554,137,1557,1,20.68,12.27,19.25,17.5,79,3.5,7.475,17.1,10.275,37.5,0.587,10.25,126.65,NA,NA,0
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,DFR,69.8,384.75,554,137,1557,1,20.68,12.27,22.5,5,94,1,7.48,17,10.23,56,0.1565,6.75,127.4,NA,NA,0
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,69.8,384.75,554,137,1557,1,20.68,12.27,22.75,20,78,2,7.47,16.9,10.295,62,0.2935,9.9,128.55,NA,NA,0
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,DSR,69.8,384.75,554,137,1557,1,20.68,12.27,22.5,9.5,89.5,1,7.46,16.9,10.1,64,0.1865,6.95,128.05,NA,NA,0
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,69.8,384.75,554,137,1557,1,20.68,12.27,16.75,7.5,91,1.5,7.49,16.9,10.315,106,0.3195,7.65,127.325,NA,NA,0
2019-05-30,2019,Summer,Upstream,01URSU19.UM,UM,75.89999999999999,396.65,324,127,1557,1.0005,20.68,13.125,29.75,27,72.5,0.5,7.555,13.4,NA,142.5,0.325,6.6,116.8,NA,NA,0
2019-05-30,2019,Summer,Upstream,01URSU19.USH,USH,75.89999999999999,396.65,324,127,1557,1.0005,20.68,13.125,42.75,20.5,79.5,0,7.575,13.5,NA,73,0.551,6.55,107.85,NA,NA,0
2019-05-30,2019,Summer,Upstream,01URSU19.USU,USU,75.89999999999999,396.65,324,127,1557,1.0005,20.68,13.125,24.15,10,89,1,7.57,13.5,NA,75,0.4565,5.1,107.7,NA,NA,0
2019-05-30,2019,Summer,Upstream,01URSU19.UFR,UFR,75.89999999999999,396.65,324,127,1557,1.0005,20.68,13.125,38.150000000000006,17.5,81,1.5,7.545,13.3,11.105,39.5,0.0815,4.35,120.8,NA,NA,0
2019-05-30,2019,Summer,Upstream,01URSU19.USR,USR,75.89999999999999,396.65,324,127,1557,1.0005,20.68,13.125,34,15,77.5,7.5,7.52,13.2,11.02,64.5,0.1075,6.4,120.15,NA,NA,0
2019-05-31,2019,Summer,Upstream,02URSU19.UM,UM,78.7,403.3,324,125,1557,0.9935,20.68,13.54,42.9,21,77.5,1.5,7.625,14.8,10.45,280.5,0.4725,3.7,116.95,NA,NA,0
2019-05-31,2019,Summer,Upstream,02URSU19.USH,USH,78.7,403.3,324,125,1557,0.9935,20.68,13.54,24.65,17.5,84.5,1,7.640000000000001,14.9,10.364999999999998,125,0.2695,3.15,109.45,NA,NA,0
2019-05-31,2019,Summer,Upstream,02URSU19.USR,USR,78.7,403.3,324,125,1557,0.9935,20.68,13.54,29.35,15,84.5,0.5,7.55,14.4,10.27,112.5,0.123,5.75,121.7,NA,NA,0
2019-05-31,2019,Summer,Upstream,02URSU19.USU,USU,78.7,403.3,324,125,1557,0.9935,20.68,13.54,18.9,7.5,92.5,0,7.645,15,10.365,180,0.3145,4.300000000000001,109.35,NA,NA,0
2019-05-31,2019,Summer,Upstream,02URSU19.UFR,UFR,78.7,403.3,324,125,1557,0.9935,20.68,13.54,41.25,14,84.5,1.5,7.57,14.5,10.355,50,0.1565,5.9,120.95,NA,NA,0
2019-06-03,2019,Summer,Downstream,02DRSU19.DSP,DSP,65.2,427.7,321,117,1557,1.0779999999999998,20.68,14.34,22,20,80,0,7.56,16.3,9.84,1097.5,0.403,7.300000000000001,129.3,NA,NA,0
2019-06-03,2019,Summer,Downstream,02DRSU19.DFR,DFR,65.2,427.7,321,117,1557,1.0779999999999998,20.68,14.34,30.75,10,88.5,1.5,7.5,15.95,9.885000000000002,522.5,0.3285,7.1,130.1,NA,NA,0
2019-06-03,2019,Summer,Downstream,02DRSU19.DM,DM,65.2,427.7,321,117,1557,1.0779999999999998,20.68,14.34,28.5,7.5,92.5,0,7.495,15.65,9.815,1015.5,0.2115,6.8,129.14999999999998,NA,NA,0
2019-06-03,2019,Summer,Downstream,02DRSU19.DSH,DSH,65.2,427.7,321,117,1557,1.0779999999999998,20.68,14.34,21.5,17,82,1,7.51,16.25,9.864999999999998,139.5,0.398,7.25,129.5,NA,NA,0
2019-06-03,2019,Summer,Downstream,02DRSU19.DSR,DSR,65.2,427.7,321,117,1557,1.0779999999999998,20.68,14.34,24.5,3.5,91.5,5,7.47,15.8,9.875,56.5,0.155,7.65,130.95,NA,NA,0
2019-06-04,2019,Summer,Downstream,03DRSU19.DSR,DSR,62.4,424.65,313,116,1557,1.082,20.68,14.64,18.25,12.5,85.5,2,7.435,14.5,10.24,55,0.121,7.550000000000001,126.25,NA,NA,0
2019-06-04,2019,Summer,Downstream,03DRSU19.DSP,DSP,62.4,424.65,313,116,1557,1.082,20.68,14.64,17.6,11,89,0,7.515000000000001,15,10.22,1502,0.1515,7.65,126.55,NA,NA,0
