date,year,season,location,sampleID,microhabitat,scientificName,stage,number,benthicArea,invDens
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,Bothrioneurum vejdovskyanum,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,DSR,Caecidotea sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Ferrissia sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Girardia sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,Girardia sp.,adult,4,0.5,8
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,Girardia sp.,adult,3,0.5,6
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Lebertia sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,Lebertia sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,Lebertia sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,DSR,Lebertia sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,Lumbriculus variegatus,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,DFR,Optioservus sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Optioservus sp.,adult,3,0.5,6
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,Optioservus sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,Optioservus sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,DFR,Oulimnius sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Sperchon sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,Sperchon sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,Sperchon sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,DSR,Sperchon sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,DSR,Sperchonopsis sp.,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,DFR,Spirosperma nikolskyi,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,DFR,Stenelmis sp.,adult,5,0.5,10
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Stenelmis sp.,adult,8,0.5,16
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,DSH,Stenelmis sp.,adult,2,0.5,4
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,DSP,Stenelmis sp.,adult,5,0.5,10
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,DFR,Stylodrilus heringianus,adult,1,0.5,2
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,DM,Stylodrilus heringianus,adult,1,0.5,2
