date,year,season,location,sampleID,startTime,microhabitat,quadrat,depth,pH,wTemp,DO,light,flow,turb,cond,nitrate,alkalinity
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,09:40:00,DSR,1,24,7.46,16.7,10.1,59,0.252,6.5,128.3,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DSR,09:40:00,DSR,2,21,7.46,17.1,10.1,69,0.121,7.4,127.8,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,10:19:00,DFR,1,23.6,7.48,16.8,10.24,57,0.092,5,127.4,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DFR,10:19:00,DFR,2,21.4,7.48,17.2,10.22,55,0.221,8.5,127.4,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,12:08:00,DM,1,25,7.47,16.9,10.27,62,0.284,8,128.1,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DM,12:08:00,DM,2,20.5,7.47,16.9,10.32,62,0.303,11.8,129,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,11:05:00,DSH,1,17,7.48,17.1,10.29,31,0.615,9.9,125.3,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DSH,11:05:00,DSH,2,21.5,7.47,17.1,10.26,44,0.559,10.6,128,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,11:36:00,DSP,1,11,7.49,16.9,10.31,114,0.448,8.7,127.1,NA,NA
2019-05-28,2019,Summer,Downstream,01DRSU19.DSP,11:36:00,DSP,2,22.5,7.49,16.9,10.32,98,0.191,6.6,127.55,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.USR,09:41:00,USR,1,41.5,7.51,13.2,10.98,51,0.082,5.9,120.6,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.USR,09:41:00,USR,2,26.5,7.53,13.2,11.06,78,0.133,6.9,119.7,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.UFR,10:14:00,UFR,1,36.2,7.55,13.3,11.1,41,0.064,4.5,121.9,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.UFR,10:14:00,UFR,2,40.1,7.54,13.3,11.11,38,0.099,4.2,119.7,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.UM,10:40:00,UM,1,32,7.56,13.4,NA,129,0.164,6.4,115.8,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.UM,10:40:00,UM,2,27.5,7.55,13.4,NA,156,0.486,6.8,117.8,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.USH,11:20:00,USH,1,53.5,7.58,13.5,NA,46,0.687,4.5,108.6,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.USH,11:20:00,USH,2,32,7.57,13.5,NA,100,0.415,8.6,107.1,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.USU,11:45:00,USU,1,25.3,7.58,13.5,NA,73,0.364,5.7,107,NA,NA
2019-05-30,2019,Summer,Upstream,01URSU19.USU,11:45:00,USU,2,23,7.56,13.5,NA,77,0.549,4.5,108.4,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.USR,09:36:00,USR,1,34.2,7.54,14.4,10.25,98,0.072,6,122.9,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.USR,09:36:00,USR,2,24.5,7.56,14.4,10.29,127,0.174,5.5,120.5,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.UFR,10:00:00,UFR,1,38.6,7.57,14.5,10.33,59,0.185,4.7,120.2,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.UFR,10:00:00,UFR,2,43.9,7.57,14.5,10.38,41,0.128,7.1,121.7,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.UM,10:24:00,UM,1,47.8,7.63,14.8,10.43,199,0.515,3.4,116.7,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.UM,10:24:00,UM,2,38,7.62,14.8,10.47,362,0.43,4,117.2,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.USH,10:57:00,USH,1,17.4,7.65,14.9,10.36,126,0.209,2.4,109.6,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.USH,10:57:00,USH,2,31.9,7.63,14.9,10.37,124,0.33,3.9,109.3,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.USU,11:20:00,USU,1,12.8,7.65,15,10.35,187,0.113,3.2,109.4,NA,NA
2019-05-31,2019,Summer,Upstream,02URSU19.USU,11:20:00,USU,2,25,7.64,15,10.38,173,0.516,5.4,109.3,NA,NA
2019-06-03,2019,Summer,Downstream,02DRSU19.DSR,09:39:00,DSR,1,31,7.47,15.8,9.87,50,0.144,9,131.5,NA,NA
2019-06-03,2019,Summer,Downstream,02DRSU19.DSR,09:39:00,DSR,2,18,7.47,15.8,9.88,63,0.166,6.3,130.4,NA,NA
2019-06-03,2019,Summer,Downstream,02DRSU19.DFR,10:11:00,DFR,1,31.5,7.5,15.9,9.88,877,0.46,7.6,130.5,NA,NA
2019-06-03,2019,Summer,Downstream,02DRSU19.DFR,10:11:00,DFR,2,30,7.5,16,9.89,168,0.197,6.6,129.7,NA,NA
